SID,DOM_TYPE,DESL_MEAN,CLAT_MEAN,CLON_MEAN,YEAR_START,MONTH_START,DAY_START,AREA_MAX,AREA_MEAN,OVERLAP_MEAN,DURATION,BI_MAX,BI_MEAN,Z500_MAX,Z500_MEAN,PERC_RIDGE,PERC_OMEGA,PERC_HYBRID,PERC_REX,PERC_POLAR
2019118,Ridge,,46.76748520571698,-132.32633966838623,2019,10,26,3951481,1881393.4444444445,0.7405882352941175,18,5.344963073730469,3.6492025101623673,5885.0,5841.066666666667,0.7222222222222222,0.2777777777777778,0,0.0,0.0
2019119,Ridge,,42.93665929960132,93.24871994532434,2019,10,31,1120530,790897.6,0.7845000000000001,5,2.6329874992370605,1.9231295905082053,5757.8,5750.36,1.0,0.0,0,0.0,0.0
2019120,Rex block,,67.45372013187941,-2.069852807444435,2019,11,1,6363100,2786182.1428571427,0.6437000000000002,21,4.286539554595947,1.4823500532901992,5587.8,5456.7380952380945,0.0,0.0,0,0.9047619047619048,0.09523809523809523
2019121,Ridge,,42.936459952674205,-39.34931975433827,2019,11,3,731141,621885.5,0.6593333333333333,4,4.022085666656494,3.1827806083379837,5886.5,5857.175,1.0,0.0,0,0.0,0.0
2019122,Ridge,,47.01823422184595,45.451060001786615,2019,11,4,5398110,3045571.1764705884,0.7063124999999998,17,5.359864234924316,2.945781428684764,5848.0,5806.658823529411,0.5294117647058824,0.47058823529411764,0,0.0,0.0
2019123,Rex block (polar),,74.20301025038917,-26.519174091225395,2019,11,9,2855292,2183373.8333333335,0.6466,6,1.7994046211242676,0.6595934100954642,5401.2,5366.516666666666,0.0,0.0,0,0.5,0.5
2019124,Ridge,,44.11031891122241,-34.287505567655714,2019,11,13,1292204,880170.25,0.6733333333333333,4,4.795050621032715,3.4916197546781635,5851.2,5828.55,1.0,0.0,0,0.0,0.0
2019125,Rex block,,66.09592150388909,-1.4125344547417966,2019,11,19,4725825,2208294.0,0.55025,5,4.668283462524414,1.8101145929973754,5730.0,5575.66,0.0,0.2,0,0.8,0.0
2019126,Rex block (polar),,82.03205660227678,126.54995224831674,2019,11,21,957388,707834.25,0.7213333333333334,4,0.81024169921875,0.25924909801276075,5176.2,5129.775,0.0,0.0,0,0.0,1.0
2019127,Rex block,,65.82039528691823,-34.729412024278226,2019,11,24,2625340,2164142.6,0.8167499999999999,5,3.1905531883239746,1.9906019272325217,5561.5,5530.68,0.0,0.0,0,1.0,0.0
2019128,Rex block,,59.16353968349848,-123.61764274899441,2019,11,26,2276463,1242638.3333333333,0.5408000000000001,6,3.987860679626465,2.307745766655676,5622.2,5537.666666666667,0.0,0.0,0,1.0,0.0
2019129,Rex block,,72.71606303450328,-44.52211628948314,2019,11,29,2673647,1383946.6,0.496,5,2.340233325958252,1.179052572030067,5316.5,5231.64,0.0,0.0,0,0.6,0.4
2019130,Ridge,,44.45561503306093,-8.898225499282299,2019,12,3,4791318,2364120.4285714286,0.5971666666666667,7,4.719662666320801,2.4449897011694515,5878.0,5828.157142857142,0.7142857142857143,0.0,0,0.0,0.0
2019131,Ridge,,41.534208980175265,79.30826189191116,2019,12,3,2356565,1418511.7142857143,0.786,7,3.8604378700256348,2.1003625835193978,5746.2,5722.885714285714,1.0,0.0,0,0.0,0.0
